onset,stimulus duration,isi_duration,stimulus_type
0,30,,rest
30,0.5,2,task
32.5,0.5,2,task
35,0.5,2,task
37.5,0.5,2,task
40,0.5,2,task
42.5,0.5,2,task
45,0.5,2,task
47.5,0.5,2,task
50,0.5,2,task
52.5,0.5,2,task
55,0.5,2,task
57.5,0.5,2,task
60,0.5,2,task
62.5,0.5,2,task
65,0.5,2,task
67.5,0.5,2,task
70,0.5,2,task
72.5,0.5,2,task
75,0.5,2,task
77.5,0.5,2,task
80,0.5,2,task
82.5,0.5,2,task
85,0.5,2,task
87.5,0.5,2,task
90,0.5,2,task
92.5,0.5,2,task
95,0.5,2,task
97.5,0.5,2,task
100,0.5,2,task
102.5,0.5,2,task
105,0.5,2,task
107.5,0.5,2,task
110,0.5,2,task
112.5,0.5,2,task
115,0.5,2,task
117.5,0.5,2,task
120,0.5,2,task
122.5,0.5,2,task
125,0.5,2,task
127.5,0.5,2,task
130,0.5,2,task
132.5,0.5,2,task
135,0.5,2,task
137.5,0.5,2,task
140,0.5,2,task
142.5,0.5,2,task
145,0.5,2,task
147.5,0.5,2,task
150,0.5,2,task
152.5,0.5,2,task
155,0.5,2,task
157.5,0.5,2,task
160,0.5,2,task
162.5,0.5,2,task
165,0.5,2,task
167.5,0.5,2,task
170,0.5,2,task
172.5,0.5,2,task
175,0.5,2,task
177.5,0.5,2,task
180,0.5,2,task
182.5,0.5,2,task
185,0.5,2,task
187.5,0.5,2,task
190,0.5,2,task
192.5,0.5,2,task
195,0.5,2,task
197.5,0.5,2,task
200,0.5,2,task
202.5,0.5,2,task
205,0.5,2,task
207.5,0.5,2,task
210,0.5,2,task
212.5,0.5,2,task
215,0.5,2,task
217.5,0.5,2,task
220,0.5,2,task
222.5,0.5,2,task
225,0.5,2,task
227.5,0.5,2,task
230,0.5,2,task
232.5,0.5,2,task
235,0.5,2,task
237.5,0.5,2,task
240,0.5,2,task
242.5,0.5,2,task
245,0.5,2,task
247.5,0.5,2,task
250,0.5,2,task
252.5,0.5,2,task
255,0.5,2,task
257.5,0.5,2,task
260,0.5,2,task
262.5,0.5,2,task
265,0.5,2,task
267.5,0.5,2,task
270,0.5,2,task
272.5,0.5,2,task
275,0.5,2,task
277.5,0.5,2,task
280,0.5,2,task
282.5,0.5,2,task
285,0.5,2,task
287.5,0.5,2,task
290,0.5,2,task
292.5,0.5,2,task
295,0.5,2,task
297.5,0.5,2,task
300,0.5,2,task
302.5,0.5,2,task
305,0.5,2,task
307.5,0.5,2,task
310,0.5,2,task
312.5,0.5,2,task
315,0.5,2,task
317.5,0.5,2,task
320,0.5,2,task
322.5,0.5,2,task
325,0.5,2,task
327.5,0.5,2,task
330,0.5,2,task
332.5,0.5,2,task
335,0.5,2,task
337.5,0.5,2,task
340,0.5,2,task
342.5,0.5,2,task
345,0.5,2,task
347.5,0.5,2,task
350,0.5,2,task
352.5,0.5,2,task
355,0.5,2,task
357.5,0.5,2,task
360,0.5,2,task
362.5,0.5,2,task
365,0.5,2,task
367.5,0.5,2,task
370,0.5,2,task
372.5,0.5,2,task
375,0.5,2,task
377.5,0.5,2,task
380,30,,rest